text,left_right,corpus_code
"improving pay and benefits for members of the forces, and exempting them from paying income tax on money earned while serving on high-risk international missions.",2,62420_200406
"it is time for smart, strategic investments that will turn our economy around and get it growing again.",0,62420_201510
making peacekeeping and peacemaking operations under un auspices the priority for canadian armed forces operations overseas and working with similar nations to co-operate in organizations that take a holistic approach to security issues.,1,62320_200406
we will increase enforcement by hiring more fisheries officers and updating the fisheries act.,0,62320_200810
the accord went a long way toward restoring the cuts to health care of the martin years.,1,62623_200406
create a national council on poverty elimination.,0,62320_201510
"b) ensure that binding water-sharing agreements among provincial, territorial and federal governments are created within the mackenzie basin (within 1 year).",0,62110_200810
while providing more humanitarian support,1,62420_201510
"in addition to the significant tax measures already described, every rural canadian tax filer will receive up front, each year, an annual green rural credit of $150.",0,62420_200810
every family's needs are different.,1,62420_201510
"our conservative government recognizes that french- and english-speaking communities contribute to our country's cultural, social, and economic vitality.",2,62623_201510
"the price will begin immediately at $10 per tonne of greenhouse gas emissions and steadily rise by an additional $10 per tonne each year, reaching $40 per tonne within four years.",0,62420_200810
supporting safe helicopters for the canadian armed forces.,2,62320_200406
"these are important steps to focusing on the promotion of health,",1,62320_201510
"as under the old law, the age at which the sentencing provision applies (14, 15 or 16) will be determined in each province.",2,62623_200810
to develop a system of regulated companies to hire caregivers on behalf of families.,1,62420_201510
"work with farm organizations and provincial governments to implement income stabilization programs that are consistent with our international trade obligations and approaches,",1,62320_200810
canadians must demand better for the brave men and women who put their lives on the line to protect us.,2,62623_200406
"today, far too many aboriginal students are not completing high school, especially on reserves.",1,62420_200601
"jack layton and canada’s ndp will respect your vote by: holding a referendum on whether to change the voting system to one based on proportional representation, similar to systems in germany and new zealand that respect voters’ choices, protect local representation and require broad levels of support for a party to qualify for seats in parliament.",0,62320_200406
"provide more funding for the rcmp, specifically to give greater training to new recruits and specialists.",2,62110_200810
ensure that the arctic is protected and defended through the coast guard and civilian enforcement of canadian law along with an adequate—but not excessive—military capability.,2,62320_200810
tom mulcair knows that the right choice – the only responsible choice – is for canada to commit to an approach based on sustainable development.,0,62320_201510
"proceed with the increased basic personal credit amounts, and the decrease in the lowest personal income tax rate, announced in november.",0,62320_200601
"on unity, the liberal party has made things worse – much worse.",2,62320_200601
"refocus the mandate of the canadian radio-television and telecommunications commission (crtc) to promote and protect canadian cultural industries,",0,62320_200810
"we have to address the multi-layered problems facing families through new, innovative fiscal, labour and social policies.",1,62110_200810
"make all votes in parliament, except the budget and main estimates, “free votes” for ordinary members of parliament.",1,62623_200601
canadians on moderate and fixed incomes have been hit particularly hard in recent years.,0,62623_200406
green party mps will: introduce legislation to establish a canadian index of well-being to provide the government with better information so it can do a better job of taxation and revenue sharing with the other levels of government.,1,62110_200810
"recruit 13,000 additional regular forces and 10,000 additional reserve forces personnel.",2,62623_200601
a portion of this balance will be allocated to initiatives to be announced later in the campaign.,0,62420_200601
"lastly, the green party government will confirm the core role of our military, clarify its purpose and equip it accordingly.",2,62110_200810
canada will support the development of kyoto’s clean development mechanisms focused on verifiable greenhouse gas reductions in developing nations.,0,62110_200810
"we do not agree that at this point the broad-based, general corporate tax cuts being proposed by the liberals and conservatives are necessary.",0,62320_200601
focusing community economic development and investment towards clean technology and services is both a smart economic development strategy and a superb investment opportunity.,0,62110_200810
"the lack of federal regulation, monitoring, and action has made canada one of the world’s biggest and most tragic offenders against the environment.",0,62110_200810
"the green party supports the delivery of social housing dollars to provincial, territorial and municipal governments through the traditional vehicle of the canadian mortgage and housing corporation (cmhc).",1,62110_200810
"new democrats are traders too, and consistently embrace multilateral approaches to solving global challenges.",1,62320_200406
a paul martin government will immediately submit judge gomery’s second report to a parliamentary committee for study and advice to the government and to parliament.,0,62420_200601
"these targets would be developed in collaboration with the provinces and territories relying on the work of the health council, the canadian institute for health information, the canadian institutes for health research and health professionals.",0,62420_200406
this energy intensive industry also contributes nearly twice as much to canada’s greenhouse gas emissions as do all domestic flights in canada.,0,62110_200810
the commercialization centers promise to become focal points for clusters of activity in many dynamic areas of technology.,0,62420_200406
"no canadian should be satisfied with the failed policies of the indian act and the huge bureaucracy of diand, the enormous outlays of funding for lawyers and “experts,” in the interminable comprehensive claims policy.",2,62110_200810
"clean energy and climate change: at the recent united nations conference on climate change in montreal, prime minister martin issued a call to action in the following words:",0,62420_200601
"to add insult to injury, consecutive federal governments have allowed critical infrastructure to go without needed maintenance.",0,62110_201510
and we will cut the middle class tax rates to 21 per cent from 22 per cent (a 4.5 per cent cut) and to 25 per cent from 26 per cent (a 3.8 per cent cut).,0,62420_200810
* address inter-provincial/territorial and international water-related concerns by demanding that government:,0,62110_200810
"* work with provinces, territories and industry to ensure that all mining operations are insured for environmental liabilities and have an adequate pre-funded plan for remediation when the mine closes.",0,62110_200810
taxes should be “smart. ”,0,62420_200601
the pmo is not part of our system of government.,1,62110_201510
"a carbon tax will apply at the wholesale level, across the country, to the full range of fossil fuels including coal, propane, natural gas, oil and diesel – based on their level of carbon emissions.",0,62420_200810
"taxing pollution and waste,",0,62110_201510
form integrated enforcement task force units to unite the rcmp with municipal and provincial police forces to share information and intelligence gathering techniques.,2,62320_200601
"we will review the limits on how much political parties can spend during elections,",1,62420_201510
"for decades, successive liberal governments have undermined and under funded canada’s armed forces.",2,62623_200601
report routinely and openly on budgetary surpluses.,1,62320_200810
"combatting immigration marriage fraud with a two-year residency requirement, which has resulted in a significant decline in commercial marriages of convenience.",2,62623_201510
"in his trip to washington in late april, prime minister martin also met with the leadership of the congress, a vital centre of decision-making in the u.s. government.",0,62420_200406
the ndp will mandate an independent review of the program to make a determination on whether the program is meeting its goals,1,62320_201510
the ndp remains committed to ensuring that public sector employees are treated fairly in retirement.,0,62320_201510
"we must ensure the tax system helps, not hinders, canadians.",1,62110_201510
"we will enhance access to capital, skills training and natural resources,",0,62320_200810
the council of canadian governments will be the catalyst for a new era of cooperation that establishes common standards to improve interprovincial labour mobility,2,62110_201510
"this legislation would create mandatory data breach reporting if individuals may face personal risk,",2,62320_201510
"canada has long been a refuge for people fleeing violence and oppression, from united empire loyalists and fugitive slaves from the united states in the 18th and 19th centuries, to eastern europeans and vietnamese “boat people” fleeing communism in the 20th.",2,62623_201510
"this ecological disaster, the result of federal government mismanagement, resulted in the loss of 30,000 jobs.",0,62110_200810
"work-place child care spaces create other benefits, recognizing the emerging literature that children benefit enormously from time with their mothers, especially when very young.",1,62110_200810
"if speculators are driving up the cost of housing to unaffordable levels, that's something the government can and should address.",1,62623_201510
"it is more cost-effective to hire temporary and short-term workers or get existing workers to work longer hours, including paid overtime, than to hire additional staff.",0,62110_200810
a liberal government will increase transfers to provinces and territories to ensure that canadians receive the service they need.,1,62420_200406
"require that, in the event of a disagreement between a minister and deputy minister on a matter of administration, the minister must provide written instruction to the deputy minister and notify the auditor general and comptroller general of the disagreement.",1,62623_200601
supporting a culture of innovation among canada's leading businesses.,2,62320_201510
require firearms vendors to keep records of all firearms inventory and sales to assist police in investigating firearms trafficking and other gun crimes;,2,62420_201510
a re-elected conservative government will move forward with making this important legislation even more effective at protecting canadian families.,0,62623_201510
"identifying and addressing current and growing ecological threats due to population growth, invasive alien species and new substances such as pharmaceuticals that make their way into the ecosystem, at a cost of $100 million over 10 years.",0,62420_200601
and designating a stronger new regulatory body for immigration consultants.,2,62623_201510
"* require greater involvement of people dealing with personal mental health problems in research planning, policy development, program evaluation and other decisions that affect their lives and communities.",1,62110_200810
"this can be a strong disincentive to taking a job since the loss of benefits – both cash and services – can offset, or even more than offset, the new income.",0,62420_200601
"and now a single senior can earn at least $20,360 and a senior couple at least $40,720 before paying any federal income tax.",1,62623_201510
does it address the needs of children?,0,62110_200810
hmcs discovery – located adjacent to stanley park – was constructed in world war ii from the vancouver half company of the royal canadian navy volunteer reserve.,2,62623_201510
"introduce environmental, human rights and labour standards into all trade agreements.",1,62320_200810
"we are in the midst of a cancer epidemic, and no one is willing to speak of it out loud.",1,62110_200810
"one can argue whether the changes are for good or for ill, but there is no doubt that many of these impacts will be devastating for the fragile northern environment.",0,62110_200810
these ecological systems are home to well over half of canada’s population and generate 75 per cent of canada’s manufacturing output and 25 per cent of agricultural activity.,0,62420_200601
"entrench the canadian wheat board as the single desk marketer for canadian wheat and barley,",0,62320_200810
"shorter hospital stays, earlier discharge,",1,62320_200601
restoring habitat protection to the fisheries act.,0,62320_201510
"the skilled trades are crucial for canada’s economic future, but companies can’t find enough skilled workers.",0,62623_200601
establishing a new expression of interest system that shifts from a passive processing of applications to fast-tracking of applicants with jobs offers or in-demand skills.,1,62623_201510
"the pearson peacekeeping centre, with its principal campus on the former cornwallis military base in nova scotia, provides unique expertise and training in peacebuilding and conflict prevention for civil and military officials from many partner countries.",1,62420_200601
"the ndp will also seek to contribute personnel who can play a leadership role and prioritize the contribution of personnel to situations requiring advanced linguistic, logistical and intercultural expertise.",1,62320_201510
"the liberal government has been addressing these issues – e. g. , the business development bank has created a $25 million fund specifically to help women expand their businesses and to seek new market opportunities outside canada.",1,62420_200601
"help canadians conserve energy,",0,62320_200601
increase career transition resources for artists.,0,62320_200810
"develop partnerships with provincial and territorial governments, and labour and management organizations, to make ei a key resource for public training strategies and programs.",0,62320_200810
"for those who have immigrated to canada and want to leverage their skills and background to benefit their chosen country, their community and their families, the challenge is often having their abilities fairly recognized.",0,62320_201510
as traditional industries face overseas competition and new industries emerge.,1,62320_200810
"we will begin by closing what has been called the “romanow gap,” identified in mr. romanow’s report and reflecting principles that go back to the period prior to 1977 when medicare services were explicitly cost-shared between the provincial and federal governments.",0,62420_200406
"nevertheless, it is neither clean nor green.",0,62110_200810
– reducing general corporate tax rates and scheduling phase out of the corporate surtax;,1,62420_200601
withdraw all government funding supports and guarantees for new nuclear plants.,2,62110_200810
we need to resurrect federal engagement in tourism promotion and support.,0,62110_201510
these funds must not be diverted to general revenue as was done by liberal governments.,1,62320_200810
it will also take a major role in making sure our borders are open and security measures are reasonable and not unwarrantedly excessive.,1,62110_200810
* introduce a corporate social responsibility act to regulate the mining industry requiring the highest environmental practices,0,62110_200810
"canadians are a trading and global people, unafraid to compete in the world and supportive of international institutions and rules that bring our world closer.",2,62320_200406
"the 2004 first ministers health accord committed $41 billion to health care system improvements, including $5.5 billion over 10 years to reduce wait times.",1,62110_200810
green party mps will: adopt animal welfare legislation to prevent inhumane treatment of farm animals including intensive factory farming methods.,0,62110_200810
we will:invest in the expansion of drug and alcohol addiction and prevention programs – including harm reduction programs – in partnership with the provinces and territories.,1,62320_200810
"jack layton and the new democrats – with a caucus team that is 40 percent female, the highest of any party in parliament - are helping to lead the struggle for equality for women at home, at work and in society.",0,62320_200810
"chronic underfunding of the first nations education system has held first nations students back: they are behind provincial peers in reading, writing, and numeracy.",1,62420_201510
and raided more than $54 billion from the ei fund.,2,62320_201510
"how can they justify funding cuts to the status of women and refusing to enact pay equity legislation, despite the recommendation from a two-year federal review of pay equity in canada?",0,62110_200810
establishing an east-west power grid to export cleaner hydro power from quebec and manitoba to coal-dependent provinces.,0,62320_200406
"canada’s industrial base is energy-intensive, and energy use is responsible for about 85% of canada’s greenhouse gases.",0,62420_200601
and will fully implement all of the auditor general's recommendations on enhancing mental health service delivery to veterans.,1,62420_201510
working with provinces and territories to respect foreign qualifications of professionals.,1,62320_200406
"bill c-51 must be repealed, as it infringes on the political and civil rights granted to all of us under the canadian charter.",2,62110_201510
"everybody else is finally catching up, in recognition of the fact that good infrastructure is vital to our country, our communities, and our day-to-day quality of life.",0,62623_201510
"as the only party working within a triple bottom line (economic, ecological and social) approach to every policy, our position on key environmental issues is clear.",0,62110_200810
"family owned and operated farms of small to medium size constitute the most reliable, high quality and economical food production system, now and into our uncertain future.",0,62110_200810
"we will work with métis people, as well as the provinces and territories, to establish a federal claims process that recognizes métis self-government and resolves outstanding claims.",0,62420_201510
"we will also work with provinces, territories, and other willing partners,",0,62420_201510
"we will introduce new legislation that will, among other measures: guarantee that all canadian security intelligence service warrants respect the charter of rights and freedoms;",2,62420_201510
"update parks canada's national park system plan to focus on expanding parks where needed to protect their ecological integrity,",0,62320_201510
but canadians are beginning to worry that our children and grandchildren may not enjoy the same opportunities that we have had.,2,62623_200601
"an ndp government would work as an even-handed, fair arbiter abroad with a renewed focus on the un and other international institutions.",1,62320_201510
firearms safety training.,2,62623_200406
"in the ndp budget, $1.6 billion was allocated for affordable housing construction with no requirement of provincial or territorial matching funds.",1,62320_200601
4) achieve better health through prevention,1,62110_200810
"all members of the fossil fuel industry will participate in the lfe cap and trade system, as above.",0,62110_200810
"we will: repeal changes made by bill c-42 that allow restricted and prohibited weapons to be freely transported without a permit,",2,62420_201510
"regenerate our air force through upgrades to the cf-18 fleet, new tactical and heavy-lift aircraft, and new maritime helicopters with enhanced multi-mission capabilities.",2,62623_200406
building affordable housing and providing rent supplements to low-income canadians.,1,62320_200406
"when our government is at its best, it represents all of us and brings us together to accomplish things we cannot accomplish alone.",2,62110_200810
"instead of raiding the employment insurance (ei) fund like the liberals – who raided $54 billion – and the conservatives,",2,62320_201510
improve access to natural and complementary health products and supplements.,1,62623_200601
"this act will set firm targets, and make the government accountable for achieving these targets.",2,62320_200810
canada committed to reduce its emissions to 6% below 1990 levels between 2008-2012.,1,62110_200810
our current laws call for life in prison for anyone convicted of high treason.,2,62623_201510
individual canadians spent an estimated $17 billion out-of-pocket on their health care needs in 2002 alone.,1,62320_200601
one of the best ways to generate business investment in canada is by offering tax incentives for that investment.,0,62420_200810
"in that spirit, the prime minister has already met twice with all the premiers and territorial leaders.",0,62420_200406
it's time to take the next long overdue step and expand our universal public health care system to include universal access to prescription drugs.,1,62320_201510
"– foundations for economic growth – e. g. , support for major resource developments like the proposed mackenzie valley gas pipeline",0,62420_200601
our constitution set up a taxation system that greatly favoured the federal and provincial governments.,2,62110_200810
thousands of handguns are coming across the border and into our urban centres.,2,62110_200810
"thanks to this loophole, some mps have accumulated large, secret trust funds.",0,62623_200601
we believe a responsible government will see the big picture and have well-integrated policies that truly prevent crime and truly protect our communities.,2,62110_200810
"and in workers’ right to fair wages, healthy and safe working conditions and working hours compatible with a good quality of life.",1,62110_200810
jack layton and the new democrats will take action to ensure the food you buy in the store is safe to eat.,1,62320_200810
the liberal government’s commitment to preserve and improve canada’s health care system has also remained steadfast.,1,62420_200601
"under these agreements, provinces will invest federal funds in regulated early learning and child care programs for children under six.",1,62420_200601
"providing incentives to build 10,000 new afforsable and market rental housing units.",1,62320_201510
jack layton and the ndp will stop the federal government from wasting millions of dollars challenging legitimate claims and painting victims as liars.,0,62320_200601
restore funds cut by liberal governments throughout the 1990s for shelters and transition houses for women who are victims of domestic violence.,1,62320_200810
"phased in over 5 years, will include increased investment and jobs in:",0,62320_200810
all federal grants and loans to industry will be subject to carbon conditionality clauses designed to steer all industry and manufacturing to 100% sustainability (the interface approach).,0,62110_200810
the home delivery of mail is a simple matter of fairness.,1,62320_201510
"just look at the facts: between 1998 and 2002, out-of-pocket spending on basic health care by canadians increased by almost 28%.",1,62320_200601
sustainable communities and sustainable livelihoods need healthy watersheds.,0,62110_200810
we are seeing leadership in canada at the provincial level.,2,62420_200810
canadians cannot wait for the liberal government to wake up to the growing threats to our national security.,2,62623_200601
"long-distance flights at high altitude and night flights will pay a carbon tax at up to twice the regular rate to cover the climate impact of nitrous oxide emissions (which convert to tropospheric ozone, a greenhouse gas) and high level cloud cover (which traps heat).",0,62110_200810
we just have to get moving faster.,0,62420_200601
and defend medicare:,1,62320_200810
"regrettably, the budget that followed failed to reflect the willingness of canadians to meet our long-promised overseas development assistance, putting canada even further behind the target of 0.7% of gdp than we were at the time of the disaster.",1,62320_200601
federal support for infrastructure has increased dramatically under our government.,0,62623_201510
"responding to the commitments of first ministers in the september 2004 health accord, the provinces and territories agreed on december 12, 2005 to the following benchmarks based on medical evidence as to maximum appropriate waiting time.",0,62420_200601
"in lieu of mr. harper’s gst cut the ndp will: increase the child tax benefit by $1,000 per child above the currently scheduled increases and inflation adjustments.",0,62320_200601
all canadians should be able to feel safe and secure in their own homes and neighbourhoods.,2,62623_200406
"since 2002, the liberal government’s broadband for rural and northern development (brand) pilot program has helped accelerate the deployment of broadband services in close to 900 rural and remote communities.",0,62420_200601
it’s time for canada to reassert independent policies that respect both canadian values and our american friends.,0,62320_200406
liberals support the 2003 first ministers’ accord on health care renewal.,1,62420_200406
the successful montreal conference produced a call to action that canada – as next year’s president of the un framework convention on climate change – will be proud to lead. (see box),1,62420_200601
"in february 2003, the federal and provincial governments agreed on a first ministers’ accord on health care renewal.",1,62623_200406
this will apply the full force of the law to offenders who engage in serious criminal behavior while exempting law-abiding gun owners who store their weapons legally.,2,62623_201510
work with international partners to create a united nations agency to promote and support women’s equality throughout the world.,0,62320_200810
"we will work co-operatively with provinces and municipalities to use new financial resources and innovative capital investment techniques, with a goal of eventually eliminating that deficit.",0,62420_200406
the speed with which new threats arise – sometimes from unexpected quarters – has increased dramatically.,2,62420_200406
we need to de-couple the perception that economic success is dependent on physical growth and build upon the benefits of a steady-state economy (non boom bust economy).,0,62110_200810
canada’s economy – to say nothing of its government – was increasingly hindered by mounting public debt.,2,62420_200406
"genuine, beneficial reform requires new approaches to primary health care (for instance, better access to doctors, nurses and clinics, no matter the time of day), home care, a reduction in waiting times and coverage for prescription drugs in situations where expenses are catastrophic to personal or family finances.",1,62420_200406
primarily in smaller communities and rural areas.,0,62420_200601
we will not be so in our time.,2,62420_200406
these initiatives help attract investment and job creation in canada,2,62623_201510
"to truly help canadian families live healthier, happier and more productive lives, the government must do more to promote healthy and active living.",1,62320_201510
"we will cancel stephen harper's tax breaks for the wealthy,",0,62420_201510
"after 2012, the tax will increase by 50% a year, and after 2015 no landfill will be allowed to operate without methane capture.",0,62110_200810
"and providing funding for 5,000 more nursing home beds.",1,62320_201510
we will establish new performance standards for federal services.,0,62420_201510
special measures for children with disabilities;,1,62420_200601
and put jobs at risk.,2,62623_201510
we will act on her recommendations.,2,62623_200406
all forest companies managing fsc certified lands will be granted a 5-year tax break for those lands upon certification.,0,62110_200810
enhancing the earnings loss benefit.,1,62623_201510
"a re-elected conservative government led by stephen harper will reduce the federal excise tax on diesel and aviation fuel by half - from four cents per litre to two cents per litre - reducing the price of transportation by truck, train, plane and ship, and helping to bring downward pressure on consumer prices.",1,62623_200810
"recognize the success of the scientific research and experimental development (sr&ed) tax credit in spurring private investment in research and development,",0,62623_200601
immediately banning all animal-to-animal feed.,1,62320_200406
together we should be capable of developing continental strategies for greater peace and security.,0,62110_200810
it will implement a national system of quality child care and early learning while reducing the financial barriers to higher education.,1,62420_200406
"in the meantime, after helping to lead the creation of key national programs in housing, health and income security – and in support of provincial priorities in post-secondary education and public infrastructure development – the federal liberal government walked away from its responsibilities in the mid-1990s.",2,62320_200601
it had to change.,2,62623_201510
"ensure clear, accurate and verifiable labelling on the origin of food and food products, including those that have undergone genetic modification.",1,62320_201510
"we begin by recognizing indigenous rights and title,",0,62110_201510
"the treaty, known as a foreign investment promotion and protection agreement or fipa, is lop-sided, benefiting the peoples' republic of china, while providing no advantage to canada.",1,62110_201510
"to address the crucial needs of canadian women, jack layton and the new democrats will: improve fairness for women at work:",0,62320_200810
"public health – the march budget provided more than $1 billion to support public health, including the creation of a new canada public health agency, which will be comprised of centres of excellence located across the country.",1,62420_200406
"we will review current programs and capabilities, and lay out a realistic plan to strengthen canada's armed forces.",2,62420_201510
"at the same time, we need better social and economic integration of new canadians, including language training, the upgrading and recognition of their professional and technical credentials, and critically important first job experience in the canadian work environment.",0,62420_200601
"like all canadians, seniors have fundamental rights and freedoms that deserve protection.",2,62320_200601
making strategic investments to encourage research and development and the creation of new products and technologies.,0,62623_201510
and there's more we can do to help aspiring homeowners buy and invest in their homes.,0,62623_201510
"our government has made historic investments in improving our trade-oriented infrastructure such as ports, harbours, and rail.",0,62623_201510
"and, many canadians recognize that offenders are often unaccountable to the community upon their release from prison.",2,62110_200810
a conservative government will set fixed election dates every four years.,1,62623_200406
2. appoint a job protection commissioner to investigate major layoffs and shutdowns.,1,62320_200810
"green bonds will be independently invested and managed, while providing canadians with a government-backed, reasonable rate of return.",0,62320_201510
"we must demand better ethics and integrity in government, and a cleaner, more accountable, more democratic political system.",0,62623_200406
"we also recognize the critical importance of defending languages and cultures,",0,62110_201510
canada also lagged behind in the effectiveness of regulations covering toxic and chemical waste.,0,62110_200810
"supporting industry-university partnerships. through the support of university and industry partnerships that foster innovation in the auto sector, we will help canada stay on the cutting edge.",0,62320_201510
"this revenue will be a source of stable, predictable funding so that municipalities can make long-term financial commitments to undertake major new infrastructure projects.",0,62420_200406
"as part of prime minister harper's historic apology to the former students of indian residential schools, we established the truth and reconciliation commission to educate all canadians about the indian residential schools system",0,62623_201510
"a re-elected conservative government will honour this important figure in our history,",2,62623_201510
"we no longer need to ask people to imagine its effects, for now we can see them. . .",0,62420_200601
"by ending door-to-door mail delivery, stephen harper is asking canadians to pay more for less service.",2,62420_201510
"others we will move on are thaidene nene (nwt), mealy mountains national park reserve (nl) and edéhzhíe national wildlife area (nwt), and expanding the rouge national urban park (on).",0,62320_201510
we will devote a fixed percentage of program funds to experimenting with new approaches to existing problems.,0,62420_201510
"we used to have a successful generic drug market in canada, but changes to the patent laws have almost wiped it out.",0,62110_200810
their claim: that these tax cuts would help improve canada’s productivity.,2,62320_200601
"promote the industries that reflect our unique identity as canadians,",0,62420_201510
betting a few billion can make the rich very much richer indeed.,1,62110_200810
these sites range from nahanni national park reserve in northwest territories to the historic district of old québec and present canada's stories of international significance to the world.,0,62623_201510
canadians lost 10 percent of our hospital beds the following year and today we have a wait time crisis in our health care system.,0,62110_200810
"and, for the first time, will provide a one-stop shop for both federal and provincial efforts in the u.s.",0,62420_200406
"we see the possible, and we are determined to pursue it.",2,62420_200406
- patient wait-time reduction targets for priority procedures identified by provinces are established by the end of 2006.,1,62623_200601
"to make canada’s communities safer, jack layton and the ndp will introduce an omnibus safe communities act, including:",2,62320_200601
"in quebec’s system, community-based organizations provide child care at a moderate fee.",0,62420_200406
"provide grants for 50% of the cost of solar thermal roofs or walls including solar hot water, as in sweden; green mortgage loans for the remainder of the cost.",0,62110_200810
"reaffirm and enforce the oil tanker moratorium on bc’s inland coast, including the north coast inside passage and hecate strait.",0,62320_200810
small business is the engine of the canadian economy,1,62420_200810
"the conservative plan isn't working for our children and grandchildren, and it's time to do better.",2,62320_201510
a re-elected conservative government led by stephen harper will take additional steps to ensure that canada's communities and hospitals have more doctors and nurses where they are most needed.,1,62623_200810
"the goal is to make canada a world leader in wind energy utilization, so that within a decade, five per cent of canada’s electricity will be generated by wind.",0,62420_200406
the largest recipient of canadians aid this year was afghanistan.,1,62110_200810
