text,left_right
"we will ensure that america has a 21st century digital infrastructure – robust wired and wireless broadband capability, a smarter electrical grid, and upgraded information technology infrastructure in key sectors such as health care and education.",0
- proposed significantly streamlined planning rules for the central city living zone.,2
teachers in these schools will be given specialist training,1
"third, we’re investing in the infrastructure and public services our growing country deserves with new schools and hospitals,",1
and take advantage of new high-growth markets around the world.,2
"maintain disabled students’ allowance to ensure students with disabilities receive appropriate support in their university studies,",0
the coalition will provide $2 million to the establishment of the hub at utas in launceston.,0
• credit back the carbon captured from riparian planting and fencing on farms done to a national standard.,0
"we will support new technologies and approaches that will let us live longer, healthier lives.",0
create new support for entrepreneurs and small business owners from bme backgrounds.,2
we oppose settlement expansion.,0
"we believe that fracking is not compatible with a low-carbon energy system in which oil and gas are gradually curtailed and, in the longer term, eliminated.",0
"hosting a nuclear security summit in washington,",1
this will be essential to keep up with the disruptive impact of new technology.,0
there is a digital renaissance that māori can and should take a lead role in ensuring current and future generations have access to digital content and supporting technologies.,0
ensure all animals are stunned pre-slaughter with strict enforcement by dard.,0
"perversely, the framework sets weak water quality bottom lines, and will permit many of our rivers to become even more polluted than they currently are.",0
"we must rebuild a society based on hard work, thrift and personal responsibility.",2
"and we will guarantee that any airport expansion adheres to our tests that require noise issues to be addressed,",0
"labour, new zealand first, and the greens have all opposed trade deals, including tpp11, that would mean $100’s of millions for our primary sector",0
without detaining americans in undisclosed locations without cause;,2
we supported the haass-o’sullivan proposals and regret these have been diluted in the subsequent stormont house and fresh start negotiations.,0
"at the moment, though, economic growth is restricted by the government's policy directions, mismanagement and poor service delivery.",0
fine gael will continue to pursue a balanced migration policy that supports our economy and meets our international and humanitarian obligations,0
"as well as surveying the broad policy environment, the minister will be tasked with taking a long-term view of our environment, with responsibility to:",0
revamp the development levy system.,0
we will continue to cut crime and make your community safer.,2
it would make sense to locate them in the khuphuka opportunity centres which would replace the national youth development agency (and labour centres) and would provide entrepreneurship training and advice and career counselling.,2
"running a four-year bowel screening pilot, at a cost of $24 million, to help identify bowel cancer at an early stage.",1
we will ensure the sports capital fund gives priority to joint proposals from local sports clubs and schools or youth organizations.,0
"the extension of the 20 hours guarantee will build on existing green party policy to construct at least 20 new ece centres onsite at low-decile primary schools, and develop a long-term plan for onsite ece in more schools.",1
it was simply not sustainable that 45% of income earners paid no tax.,0
"champion solar panels for government agencies, hospitals and schools.",0
promote 'walking buses' to schools and support local councils to reduce speed limits around schools and pedestrian areas.,0
"we will seek to get the best use out of beds, with more use of day case procedures",1
fine gael will encourage county councils to play a significant role in the regional action plan for jobs and ensure that economic recovery is felt inside every door of their county.,0
and charitable individuals.,2
"we can also redistribute payments away from wealthy landowners and large, often intensively farmed holdings, in favour of smaller food producers and family farms.",0
we need cuts of 28 megatonnes (mt) below 2015 levels in order to meet a 40 percent target.,0
started construction on: -a state of the art bus interchange in the central city,0
"these are signposts showing what children in years 1-8 should be able to achieve in reading, writing, and maths, and by when.",1
"we will: increase our early years pupil premium to £1,000 per pupil per year.",1
this will be the first step in a broader review of the funding model.,1
"the nhs is performing well in the face of increasing demand, with fewer patients waiting longer than the 18, 26 and 52 week targets than in may 2010.",1
"for example, only 3/12 uk regions are net contributors to uk treasury.",0
"not only in their houses of worship, but also in their everyday lives.",2
"local businesses are more responsive to local communities and are often better employers than remote, large ones.",1
•cut health and hospital services.,1
"target of 64,000 electric vehicles by 2021",0
criminals should not have more rights than their victims.,2
and it will embed free gp visits in a network of other green party policies to improve the healthcare available to teenagers.,1
a shorten labor government will commit $7 million to support women with breast cancer in rural australia and women all around australia with secondary breast cancer.,1
"the goods and services tax (gst) is unfair, regressive and places an unfair burden on individuals and small business.",0
but should not risk passing on too much of the burden to workers.,1
and put in place a comprehensive plan to ensure the future of the steel industry.,1
"dole payments and work schemes must be married to industries' and workers' needs, not the needs of the bureaucrats who run the systems.",0
resolving historic grievances through the full and final settlement of historic claims will be a major achievement for new zealand.,2
"enforce tougher regulations on animal transportation, including a maximum limit of eight hours travel for animals in transit",0
implement policies that encourage part-time farming.,0
congressional republicans are committed to its repeal;,2
foster closer ties between the farming and scientiﬁc communities;,0
"on budget day, the department estimated gross fiscal space for the period 2017-2021 (including the technical assumption of indexing the income tax system) at €11.070 billion.",2
"labour’s job transition service will provide an intensive and personalised response to large-scale redundancies, helping people secure work or acquire new skills.",0
we will also provide a modern and reformed framework for judicial expenses.,0
the green party has always been on the right side of history and you can trust us to get the future right too.,2
acute shortage of supply in dublin is leading to spiralling rent levels and rising house prices.,1
"our air, land, and water have all become cleaner in the last four years - and this progress can be seen all across america.",0
• where appropriate provide funding to develop and promote organic farming options.,0
it is also rich in resources that should be shared.,0
and support the government of afghanistan in ensuring that the country remains stable and never again becomes a haven for international terrorists,2
and schemes to enable pacific islanders to start their own businesses.,0
in order to free up gardaí to police our communities.,0
and boards of trustees and principals a chance to run their schools free from the stifling hand of wellington bureaucrats!,1
 provide home-grown timber,0
in their development plans suitable for homes for the elderly including supported housing with adequate community and health facilities.,1
between the two jurisdictions on this island and,2
forces struggled to find resources to investigate violent crimes.,2
the single greatest lesson from the building boom and subsequent crash is that the government must intervene smartly to ensure a sustainable housing supply.,1
we will embed restorative justice practices across all youth offending institutions.,2
we have campaigned tirelessly for the uk government to ratify the istanbul convention - the gold standard approach to tackling violence against women and girls.,0
we will improve access to rural healthcare by providing consultant-led accident and emergency and maternity services within one hour’s reach of rural and peripheral communities.,1
there can be no more backsliding on returning to sound public finances.,2
■ a bill of rights for the north.,2
modernising medicare by providing rebates for online consultations,1
"few children reach matric, and of those who do, only 15% pass maths and science.",1
"like the previous regime, it views sa in terms of racial groups.",0
government must also provide social assistance for south africans faced with circumstances beyond their control.,1
but will allow schools themselves to determine how to achieve those outcomes.,1
of the victims of the dublin/monaghan bombings,0
be financially responsible.,2
because the reconstruction and development programme (rdp) outlines our broad programme for changing south african society.,1
protect our precious water supplies by enforcing stricter penalties for polluters,0
. an incoming plaid cymru government in 2021 will embark upon the biggest programme of reconstruction our nation has seen since devolution.,0
liberal democrats are the only party forward-looking enough to do what it takes to foster high quality public debate.,1
so we have cracked down on overseas-based borrowers and collected an estimated $412m in additional student-loan repayments,0
continue to negotiate a set of international rules that recognise the unique aspects of our plantation-forestry businesses.,0
• introduce a 20% tax rate for ‘new exports’ net income.,2
"implement “orderly” marketing where industry structures undermine reasonable market power to producers (as perceived currently in dairy, egg and sugar industries); | and",0
press the commonwealth to grant accredited status to a commonwealth lgbtiq association and to urge all member states to end the criminalisation of homosexuality and to protect lgbtiq citizens against discrimination and hate crime.,0
forestry: the role of forestry in the effort to mitigate against climate change is very significant.,0
"free buses and trains for kids will halve the price of a family day out from albany or papakura to central auckland,",2
"to promote best practice reporting, the bank will produce a full set of environmental reports alongside its financial statements.",0
providing funding to cpfs on the basis of pre-determined action plans allowing them to implement community projects.,2
"these centres offer sports, cultural and recreational facilities after school hours.",0
these incentives to replace equipment will avoid the long-term lock-in of high carbon technologies.,2
the health minister has previously said that there is no money left in the health service purse to pursue reform.,1
and clearly define recreational rights.,0
- create a strong framework for britain's defence and security through nato and european co-operation.,0
while supporting fundamental reforms and mechanisms to enhance accountability and protect experts from political pressure.,1
"our welfare system should encourage people to work and support those who cannot due to age, incapacity or economic difficulties.",1
all students for whom public transport is not reasonably available within 90 minutes of their place of study will be eligible for the tertiary access allowance,0
"when governments spend more than they earn, it can only result in higher taxes or higher borrowing.",2
"to reduce debt levels and protect the economy from external and domestic risks, our long term economic plan targets the elimination of new government borrowing by 2018, and keeping the public finances in balance thereafter.",2
economic strength -- indeed our national security -- is grounded on a healthy domestic economy.,0
"• 96 per cent of gps have access to electronic support tools to help them better assess depression, manage patients, and make referrals.",1
the va must move from a sometimes adversarial stance to an advocacy relationship with vets.,0
"the nationals will ensure that taxes and charges imposed by the federal government do not disadvantage regional businesses, compared to their international competitors.",2
"today, nobody is legally discriminated against because of race, or because they are women, or disabled, or because of some other difference.",0
"mana is committed to job creation with work that is socially, economically and environmentally useful in our communities.",1
"the lowest-income americans, including more than four million adults who should be eligible for medicaid but who live in states where republican governors have refused to expand the program, will be automatically enrolled in the public option without premiums;",1
"national is implementing over 100 of the land and water forum's recommendations to improve the way new zealand manages freshwater, and has begun the multi-generational reforms required.",0
"its building australia fund, established with the surpluses left by the previous government, has been used to bail out failed state labor governments.",0
it is far better for all of us when everybody can make their full contribution to our economy and society.,0
• remain strongly committed to new zealand’s anti-nuclear policy.,1
"the united states ought to drive the international community in providing more strategic, coordinated, proactive, predictable, and cost-effective funding",1
"liberal democrats in government secured the first ever income-contingent loans scheme for graduate degrees, which we will protect and seek to extend.",0
and treating each case on its merits.,2
"fine gael will drive forward the delivery of the strategies of the ida, el, sfi and leos to grow ireland's export market share in diverse markets, sectors and technologies.",2
"and also ensure that the democratic rights of people in gibraltar, the falklands and all our overseas territories are protected.",2
– a far cry from the recession national inherited in 2008.,2
the greatest protection of those liberties is the australian people’s understanding of and commitment to them.,1
"however, the work we have put into australia, china, and other fast-growing parts of asia, such as malaysia, is paying off and ensuring visitor numbers overall are remaining stable.",0
northern ireland’s countryside is coveted internationally and cherished locally.,0
the treaty should be a source of national pride and unity,2
"we must improve the quality of early years teaching,",1
"require all government agencies and contractors and companies with more than 250 employees to sign up to the prompt payment code, making it enforceable.",1
"that includes, in recent months, a record high number of women in employment in scotland.",0
"the sdlp is committed to defending and campaigning for equality and human rights across all sectors, regardless of: sexual orientation, religious belief, political opinion, racial group, age, class, marital status, sex, disability and between persons with dependents and persons without.",0
prioritise renewable energy;,0
"set a clear ambition for all children to achieve a good grasp of maths and english, aiming to eradicate child illiteracy and innumeracy by 2025.",1
and we will ensure that the department of defense invests its budget wisely.,0
we want those entitled to benefits to take up their rights to claim them.,1
"we are committed to the millennium development goals, and to tackling the scourge of hiv/aids particularly in africa.",1
"modernise employment rights to make them fit for the age of the ‘gig economy’, including by: establishing a new ‘dependent contractor’ employment status in between employment and self-employment, with entitlements to basic rights such as minimum earnings levels, sick pay and holiday entitlement.",1
exacerbated by changing patterns of land use.,0
"national's act has been a failure, and firearms offences have been increasing.",2
we honor the extraordinary sacrifices of the men and women of the territories who protect our freedom through their service in the u.s. armed forces.,0
"if we carry on with business as usual, none of this will change.",0
"inadequate capacity,",1
"departments will be required to make their forms easier to fill in and to use plain, simple language.",2
we will seek to protect those persecuted for their faith and implement the truro review recommendations.,2
"protect our interests and values,",2
ensure protection of māori land title as a taonga,0
they merely ensured that the account for hospital treatment reached a patient's home as soon as they were discharged.,2
sinn fein in government will seek to build relationships with other member states on the basis of equality,2
end all forms of homophobia and transphobia.,0
"progress in life expectancy reflects improvements in the quality and availability of health care,",1
"and allowed it to be abused as an international, rather than a national health service.",2
"halt the rising burden of debt for future years,",2
non-state actors other than the guptas had been controlling the levers of government in the past few years.,0
and will end racial and religious profiling in law enforcement.,0
"australian employees work hard and deserve to know that their wages, superannuation and other entitlements are safe.",1
they’re why we’re restoring our alliances and image around the world,1
the internet and new technologies are massively disrupting the world of work.,1
"fianna fáil believes setting up a new delivery unit in the department of the taoiseach will help to ensure that delivery of the government programme is on track, with early identification of obstacles so that steps can be taken to rectify them.",0
we will ensure that small-scale fishing quotas are given to the communities in and around coastal villages that actually use their own quotas.,0
voluntary first party cover would be available for those who wish to protect themselves and their families beyond the social welfare and health-care provisions currently funded through general taxation.,2
and tarnished our credibility.,1
"as a small open economy, these are all factors outside of our control and leave ireland vulnerable to changes in global geopolitical and economic conditions.",1
national believes we can realise the economic benefits of new zealand's energy potential,0
"the green party will: make all post-graduate students eligible for student allowances, as a step towards a truly universal student allowance.",1
"with the support of iwi and church groups, to help young maori and pasifika people upskill and take advantage of the strong demand for tradespeople.",0
and secure new trade agreements with other countries.,2
"public participation in the development of public and community housing, (including planning and in the assessment of development proposals) is a right, the exercise of which should be encouraged by planning authorities.",1
"this will support future policy development and better targeting of existing veterans’ support and services, as well as providing a benchmark against which homelessness prevention initiatives can be assessed and help avoid duplication of services.",1
"we must meet the world as it is today, not as it was before president trump’s destruction.",2
double the numbers of trades training and cadetships placements per year for the next five years for pacific and māori.,0
end the labyrinth of bureaucratic complexities and unfairness caused by existing reciprocal pension agreements with other countries; overseas pensions are no business of the new zealand government.,2
and make job-creating investments in machinery and equipment and proposed significant additional small business tax relief.,2
so that competition across the economy was increased to the benefit of our international competitiveness and the domestic consumer.,1
"including making funds available at competitive interest rates to transfund/transit,",0
we will bring empty homes back into use by giving councils new powers to tax properties empty for over a year.,0
"social justice, on the other hand, demands that we end poverty, reduce inequality and create a society in which the conditions for a fulfilling life are available to everyone.",0
"section 15 of the constitution of republic of south africa guarantees freedom of religion, belief and opinion.",0
"we are committed to working with the relevant local authorities, the executive and the european union to ensure the narrow water bridge project is completed.",2
which will promote artistic excellence as well as ensuring greater access to arts and culture for all our people.,0
• sanction jobseekers whose recreational use of drugs affects their ability to apply for and secure a job.,2
this would mean an automatic fifteen-year prison sentence unless sufficient evidence is placed before the court that there are grounds for a shorter sentence.,2
"we will extend direct entry into the police, including at chief officer level.",2
they are denied the dignity of work and the sense of purpose work delivers.,1
"we will hold hui with iwi, tribal trusts, whānau trusts, māori trustee, and social lending organizations to identify lands and resources to grow food for overseas and local markets;",0
"to allow for individuals to contest national and provincial elections,",1
"we are now committed to extending basic rights and opportunities, as indicated in our response to the disability rights taskforce.",0
"our prisons are overcrowded, understaffed, and rapidly becoming hotbeds of violence and islamist extremism.",2
"ukip will make sure those with on-going health care needs choose where they wish to live, unless they are unable to make that choice themselves, or care at home becomes unviable.",1
tasmania is the only state without a modern naval vessel wreck.,0
"ensure that all children with disabilities or who have other additional needs get support to access childcare, based on the recommendations in the second report of the interdepartmental working group, including speech and language therapists and other appropriate early intervention",1
"such as with part-time work, and to help carers re-integrate back into the work place once their caring role has ended.",1
reconciliation and unity is a strong vote for sinn féin in this general election.,2
"we support the nuclear agreement with iran because, as it is vigorously enforced and implemented, it verifiably cuts off all of iran’s pathways to a bomb without resorting to war.",1
this will mean that the £35 million that the scottish government spends on mitigating its impact will be available for other purposes.,1
the snp has allocated an additional £10 million per annum within the independence budget to achieve the following strategic objectives:,2
launched the nz film library to promote local films to large international audiences.,0
"we wholly endorse the right of the disabled to access in-home, residential and community support services and we support their inclusion in our communities.",2
"unfortunately, due to the welsh government dragging its feet, the standards are yet to be introduced.",0
an important part of this is the urgent need to reclaim and rebuild the trade unions and to mobilise the power of workers though mass action.,0
"some 300 people a day who have their benefits cut following re¬assessments are appealing against these new decisions, at a cost of £1 million a week to the taxpayer.",0
"in the last seven years, jobs in the gaming industry have grown four-fold to 1,400 people.",0
"the eu pumped £78 million in subsidies into the new factory, while brussels sat on a request for a uk subsidy of just £14 million, for two years.",0
agricultural research and development is a sound investment,0
"labor believes that when middle and working class families are succeeding, australia succeeds.",0
the charity combat stress says 40 per cent of serving personnel with symptoms do not seek help from the specialist defence mental health services (dmhs) because of general stigma.,1
they also most harm the weakest and least well off.,0
■ a special task force should respond immediately to the arrival of new illicit drugs.,1
and will make it faster and easier to get around for everyone.,0
"regional universities, and the regional campuses of city universities, play a valuable part in improving access to education for students in the regions",1
there are some strips of land that are particularly sensitive to intensive farming.,0
and the industry-related jobs that have sustained families and communities.,1
the successful organisation will be selected from a competitive tender process,2
reversal of all public sector pay cuts.,1
the sharing and implementation of learning from area based childhood (abc) programmes to other initiatives as they expand their reach,1
"in 2013, the human rights commission found that the western cape was the only province to deliver 100% of textbook orders for the year.",1
this will reduce waiting times for elective surgery and in emergency departments.,1
we will: immediately suspend the sale of arms to saudi arabia for use in yemen,1
"support initiatives that promote healthy diet and lifestyles, and physical exercise; and",1
increase oda to 0.7% of gnp by 2012.,1
we have far more in common with the united states of america as a fellow western nation than we have with most countries.,1
"for children, this increasingly means going without.",0
"it is: to uphold and defend the constitution of the republic of south africa,",2
"all remuneration schemes at banks subject to state support should undergo a fundamental review to ensure an alignment of interest between banks, their staff and the taxpayers who have borne such a heavy burden to keep them open.",1
the scotland that all scots want.,2
the green party:affirms that te tiriti o waitangi remains a living and fundamental constitutional document.,2
"the truth is that if we are to make britain the world’s great meritocracy, we also need to do much more to support millions of people who live in ordinary, working families.",1
"working towards a binding agreement under the convention framework, which accounts for 85 per cent of global emissions and includes many major economies (us, china, india, brazil, russia, japan, canada), and participated in on-going international climate change negotiations.",1
"labor’s investment in medicare is also grounded in strong economic analysis, with the link between investment in public health and economic prosperity clear – good health underpins economic growth.",1
"• direct resources to where they are of the greatest benefit (according to need, not to race).",0
"we must yet ensure that china fulfils its wto obligations, especially those related to protecting intellectual property rights, elimination of subsidies, and repeal of import restrictions. china's full integration into the global economy requires that it adopt a flexible monetary exchange rate and allow free movement of capital.",1
people seeking asylum should have the right to work so that they can use their skills and live in dignity.,2
"13. a minimum of 50% of all senior positions in government must be occupied by women,",0
and ensure safety of fishermen;,0
and by the end of the next parliament should only occur for adults in exceptional circumstances.,1
"the economy can and will be more successful if we invest in our successful industries like science, innovation and engineering,",0
"review means-testing as a method of assessment for secondary benefits,",0
"nevertheless, the impact on the victim, who is otherwise left with the financial responsibility for a repair that is no fault of theirs, cannot be ignored.",0
decentralisation of decision- making for regional planning;,0
and that legal aid is provided for immigration cases;,0
"we have built on our close relationship by concluding new agreements in defence cooperation, civil-military cooperation, and counter-terrorism.",0
"provision of programs to assist those parents with disabled children to plan for their future, including greater support from government through arrangements such as taxation offsets and disability trusts.",0
"• made more than 133,000 private homes warmer and drier through our warm up new zealand: heat smart scheme",0
"the democratic party still treats it that way, even though everyone knows that its current course will lead to a financial and social disaster.",1
"the average annual wage has increased $13,000 since we came into office – twice the rate of inflation.",1
we will streamline the application procedure for all grants and for the new package of subsidised loans.,0
10. provide self-employed people with equal social welfare and pension rights of paye workers;,2
"just as the cold war prompted a massive reorganization of the federal government's foreign policy apparatus, the war on terror demanded a thorough reorganization of america's domestic preparedness agencies.",2
creating truly democratic central and local government that governs for the common good.,1
"a fine gael government will amend pensions legislation to allowing defined contribution pension savers to access funds early, subject to reasonable limits, to meet their current business and personal responsibilities (while taxing the draw-downs).",1
the china 3d printing technology industry alliance in may this year announced the development of ten 3d printing innovation centres at a cost 500 million rmb or $usd80 million.,0
we are committed to implementing the restructuring of medical education including an increase in training places and post-graduate medical degrees.,0
increased accountability and transparency in foreign policy.,2
employers could offer work to people from far reaching places thus spreading wealth to rural areas.,0
a key question relating to the disability act was whether services should be rights-based.,0
end the criminalisation of consensual adult sex work.,0
"investing over €7 million in 2011 for the provision of on-the-job training for up to 1,000 redundant apprentices in the public and private sectors;",0
" support a campaign aimed at employers to break-down any negative perceptions of older workers, migrants and those with disabilities;",0
"when last in government, labor put in place a comprehensive animal welfare strategy and took a lead role in coordinating this through the australian animal welfare advisory committee and the standing council on primary industries (scopi).",0
eu regulation over animal and plant health and environmental and food safety gives scotland access to export markets around the world.,0
we are anti-drugs.,2
culture is the foundation upon which a stable nation is built.,0
the ulster unionist party welcomes immigrants who have something to offer our society;,0
long waiting lists also drive up early education and care costs – locking low and middle income families out of high demand areas.,1
the centre will also take over the responsibilities of the mbs review.,1
trial lawyers get rich from the misfortune of others.,2
and create green jobs.,1
"continue our long campaign to reform agricultural subsidies – making sure british farming remains competitive and doesn’t lose out in the event of britain leaving the eu, rebalancing away from direct subsidy and refocusing support towards the public benefits that come from effective land management including countryside protection, flood prevention, food production and climate-change mitigation.",0
1. no interest on student loans for new zealand based graduates,1
"these takes and uses of water must only be met to the extent that the requirements of the rma are met, and sustainable agricultural outcomes are achieved, and water use efficiency is optimised.",0
"reform the system for funding new higher education research infrastructure in a way that provides universities and institutes of technology with the opportunity to borrow to finance research infrastructure,",0
in addition strong indigenous industries such as the tourism and agri-food sector have to be fully utilised across very region.,2
"reinstate cover for stress,",1
local government leadership and accountability: recent reforms of local government have boosted local autonomy and given local councillors and councils more influence and responsibility over the economic development of their locality.,0
no one currently in receipt of benefits will be worse off under ubi - and many will be much better off.,1
making australian beaches more accessible and enjoyable for people with disability.,0
as well as devastating consequences for the economy across ireland.,0
"as a member of the nutting inquiry, elfyn llwyd mp investigated the issue of veterans in prison, something that he frequently raised in the house of commons, working with prisons officers’ union, napo.",0
we will also introduce a petitions system for the dáil.,0
liberal democrats ensured the package of powers reflects scotland’s key priorities.,0
"we also know that lgbti people, particularly young people, suffer from a range of mental health issues.",0
9) national campaigns shall be undertaken to educate the nation about the dangers of gmos.,0
"we will strive to retain traveller and tourist benefits such as the european health insurance card, reduced roaming charges and pet passports, all of which are at risk by leaving the european union.",0
new zealand’s suite of immigration policies needs to enhance our ability to attract and retain skilled migrants.,0
as at present as this could lead to a more person-centred and responsive model of service provision.,1
unions close pay gaps between white workers and people of color.,1
we will tackle delays in discharging patients through a patient discharge plan.,1
"we will propose a model of proportional representation in labour bargaining, with firm minimum thresholds for participation, to prevent the proliferation of labour representatives in a given bargaining unit.",1
have amnesty on those people who are on the blacklist so that they would be able to start afresh and contribute to the country’s economy,2
"we will create 50,000 jobs in wales by giving more welsh public sector contracts to companies working in wales,",1
"australia’s pest- and disease-free status is vital for our farming sector, both in production and marketing terms, but also the national economy and food security.",1
"nevertheless, our government must continue to ensure the protections under our constitution to all citizens,",2
it is a goal to which we all aspire and it is the path to achieving our shared goal of a better life for all.,0
nothing had been done in nine years for the many thousands of owners of leaky homes.,2
labour:  underfunded school property infrastructure when in power,1
labor has accounted for the reversal of these unlegislated measures in our final budget position.,2
labour is committed to retaining ireland’s ‘triple lock’,1
allow ofsted to inspect both local authorities and academy chains.,1
riots and disturbances in our prisons are increasing.,2
- rewards for the nation's builders,2
we will also seek devolution of responsibility for equalities legislation to wales.,0
we want only products wholly produced here to be labelled as irish.,1
privatise state-owned entities.,2
the gateway programme will be extended to all state secondary schools to encourage more work-based learning for senior school students.,1
"the greens’ plan to put people back at the centre of workplace laws includes a commitment to:legislate to give people who have been in their job for 12 months enforceable rights to request flexible working arrangements, including thenumber of hours they work, the scheduling of those hours and the location of work",1
ensure efficient functioning of all anti-corruption structures and systems.,2
any changes to this to require a two-thirds majority of the either house.,0
-we will set up a nama run agency that will build housing for profit to cater to the needs of first time buyers (ftbs) in dublin and other urban areas suffering similar chronic supply problems.,1
"the treaty created a nation based on diversity and shared aspirations for future success, wealth, and prosperity.",2
we will introduce a new gp contract to help develop wider primary care services.,1
introduce a national safe route to school programme within the lifetime of the next government;,1
and untold thousands are suffering the mental and emotional strain of losing far too many patients.,1
"schools should be free to encourage children to participate in a truly rounded curriculum including the arts, sport and culture that broaden children’s learning and develop their passion for education.",1
"this system, which is known as money follows the patient, should increase hospital productivity by between 5% and 10% and will make the system much more transparent and accountable.",1
all pensioners get from the current government is 45 minutes of advice provided by the pensions advisory service or citizens advice bureau.,1
ensuring teachers in each school receive professional development in terms of the use of computers and internet facilities and teaching methods to facilitate computer use by learners.,0
" means more bureaucracy, more committees, endless visions that never deliver, and fewer kiwis getting operations.",2
"the nationals support the wider integration of e10 ethanol and b5 bio diesel into mainstream use in australia, together with a greater uptake of lpg.",0
we believe that the north sea oil and gas industry has a long future ahead and know the sector has a key role to play as we move to a net zero economy.,1
o require cumulative sentencing for multiple unrelated crimes.,2
"and we continue to fight for measures that would strengthen the recovery and create jobs now,",1
we propose that all legislation and policy decisions are poverty proofed by working with interested parties likely to be affected by the outcomes of each decision.,1
"increase casual loadings to a minimum of 30% and introduce the ability for casual employees to convert to permanent part time work after 3 months of continuous employment, where employment is on a continuous ongoing basis.",1
facilitating the use of different transport modes,0
their terms of reference will charge them to deliver a r&d funding system that optimises the most effective delivery systems.,0
